sample_number,conversation_id,customer_tweet,agent_reply,suggested_intent,true_intent,is_customer,created_at
91,twcs_10388,"@SpotifyCares Songs keep skipping after 5 seconds on cellular connection, but audio works fine on WiFi streaming.",@user_spot_195_300 Hi! Disable Crossfade in Settings > Playback or clear app cache to fix premature audio cutoffs. -Sarah,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-03T05:37:00
92,twcs_11908,@SpotifyCares When is Spotify HiFi 24-bit lossless streaming audio going to be released?,@user_spot_955_201 Hi! Lyrics availability depends on licensing from Musixmatch and rightsholders. We're constantly adding new lyrics! -Alex,Audio Streaming Quality & Playback Errors,Product Feature Requests & UI Enhancements,True,2017-11-10T14:52:00
93,twcs_11842,@SpotifyCares My student discount expired yesterday. Can I re-verify my student status for another year?,"@user_spot_922_214 Hi! Log into spotify.com/account, select 'Manage members' under Duo/Family, and copy the new invite link to share. -Alex",Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-10T07:14:00
94,twcs_10194,@SpotifyCares I updated my credit card details but my account is still showing payment past due and downgraded to Free.,@user_spot_98_927 Hi! Make sure your account region matches the country where the gift card was purchased. DM us the card receipt for help! -Elena,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-02T07:01:00
95,twcs_10014,@SpotifyCares Cancelled my subscription last week but still got billed $10.99 today. Please check invoice #INV-8832.,@user_spot_8_407 Hi! Your billing currency is tied to your account country settings. DM us your account username to update your country! -Elena,"Account Login, Password & Security Access","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T10:00:00
96,twcs_10270,@SpotifyCares Getting playback error code 'Spotify can't play this right now' on Windows 11.,@user_spot_136_108 Hi! Very High streaming streams at 320 kbps AAC/Ogg Vorbis on Premium. Details here: https://spoti.fi/audio-quality -Daniel,"App Stability, OS Freezes & Crash Reports",Audio Streaming Quality & Playback Errors,True,2017-11-02T15:50:00
97,twcs_10448,@SpotifyCares Playback automatically stops whenever I open Google Maps in the background on my phone.,@user_spot_225_767 Hello! Try toggling Hardware Acceleration under Edit > Preferences > Compatibility on your desktop app. -Emma,Smart Speaker & External Device Connectivity,Audio Streaming Quality & Playback Errors,True,2017-11-03T12:33:00
98,twcs_10476,@SpotifyCares Playback automatically stops whenever I open TikTok in the background on my phone.,@user_spot_239_756 Hi! Make sure hardware acceleration is enabled in your app/browser settings and clear your cache for open.spotify.com. -Kevin,Smart Speaker & External Device Connectivity,Audio Streaming Quality & Playback Errors,True,2017-11-03T15:47:00
99,twcs_10082,"@SpotifyCares If I downgrade from Premium to Free tier mid-cycle, do I get a prorated refund credit for unused days?","@user_spot_42_708 Hi! Head to your Account overview at spotify.com/account, find 'Your plan', and click 'Update' next to payment details. -Sarah","Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T17:48:00
100,twcs_11398,@SpotifyCares Spotify says 'Storage is full' error even though my SD card has 128GB of free space.,"@user_spot_700_678 Hi! Premium allows downloading up to 10,000 tracks per device on up to 5 different devices! -Chloe","Billing, Subscriptions & Refund Inquiries",Offline Playlists & Download Storage Management,True,2017-11-08T03:29:00
101,twcs_11384,@SpotifyCares Downloaded local MP3 files on desktop are not syncing over WiFi to my iPhone 13 Spotify library.,@user_spot_693_616 Hi! Make sure both devices are connected to the exact same WiFi network and Local Files are enabled in Settings. -Sarah,Audio Streaming Quality & Playback Errors,Offline Playlists & Download Storage Management,True,2017-11-08T01:49:00
102,twcs_11738,@SpotifyCares Family plan member moved to a new apartment in the same city. Do they get kicked off the plan?,@user_spot_870_103 Hey! All Family plan members must reside at the same physical residential address as the plan manager. -Elena,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T19:03:00
103,twcs_11988,@SpotifyCares Please add a feature to swipe right to add songs to queue on Android like iOS has!,@user_spot_995_639 Hi! We're always testing UI improvements. Make sure your app is updated to the latest version on the Play Store! -Chloe,Product Feature Requests & UI Enhancements,Product Feature Requests & UI Enhancements,True,2017-11-11T00:15:00
104,twcs_10850,@SpotifyCares Spotify Connect device list keeps disappearing and reappearing every few seconds on Windows 10.,"@user_spot_426_915 Hello! On consoles, open Spotify in the quick menu overlay and adjust the Sound/Mix balance slider. -Emma",Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T11:34:00
105,twcs_12088,@SpotifyCares The Equalizer setting on Windows 11 desktop app disappeared after the latest update.,"@user_spot_1045_320 Hello! Go to the artist's profile, tap the three dots (···) and select 'Don't play this artist' to block them. -Sarah","App Stability, OS Freezes & Crash Reports",Audio Streaming Quality & Playback Errors,True,2017-11-11T11:51:00
106,twcs_10103,@SpotifyCares Payment failed when renewing with Visa debit card. Bank says transaction was blocked by merchant.,"@user_spotify_105 Hey! Please verify international transactions are enabled on your card, or try PayPal as a secondary billing method.","Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-05T09:30:00
107,twcs_10290,@SpotifyCares Music volume is extremely quiet compared to YouTube and Apple Music on max volume on OnePlus 11.,@user_spot_146_523 Hello! Try toggling Hardware Acceleration under Edit > Preferences > Compatibility on your desktop app. -Daniel,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-02T18:10:00
108,twcs_12020,@SpotifyCares When is Spotify HiFi 24-bit lossless streaming audio going to be released?,@user_spot_1011_589 Hey! Send us a DM if your Daily Mix or Discover Weekly playlists are stuck so we can refresh your cache! -Zoe,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-11T04:03:00
109,twcs_11024,@SpotifyCares Roku TV app gets stuck on loading logo when launching Spotify Connect from phone.,"@user_spot_513_202 Hello! On consoles, open Spotify in the quick menu overlay and adjust the Sound/Mix balance slider. -Carlos",Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-06T07:50:00
110,twcs_11602,@SpotifyCares Songs downloaded on Premium won't play offline unless I reconnect to internet once every 14 days.,@user_spot_802_481 Hey! Send us a DM with your device model and app version if offline sync continues to fail: https://spoti.fi/dm -Maya,Offline Playlists & Download Storage Management,Offline Playlists & Download Storage Management,True,2017-11-09T03:18:00
111,twcs_10468,@SpotifyCares Song playback gets cut off 45 seconds before the track actually finishes playing.,@user_spot_235_186 Hi! Podcasts use dynamic audio leveling. You can adjust Equalizer presets under Playback settings to balance output. -Alex,Smart Speaker & External Device Connectivity,Audio Streaming Quality & Playback Errors,True,2017-11-03T14:58:00
112,twcs_11680,@SpotifyCares Family plan member moved to a new apartment in the same city. Do they get kicked off the plan?,@user_spot_841_769 Hi! Student verification is managed via SheerID. Check document submission guidelines here: https://spoti.fi/student -Liam,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T12:23:00
113,twcs_10013,@SpotifyCares Someone in another country accessed my account and changed my playlist names. I think I got hacked!,"@user_spotify_7 We take security very seriously! Please visit your account page and click 'Sign Out Everywhere', then DM us your email right away.",Product Feature Requests & UI Enhancements,"Account Login, Password & Security Access",True,2017-11-02T15:10:00
114,twcs_10900,@SpotifyCares Is there an official Spotify app for Apple Watch Ultra with offline playback?,"@user_spot_451_335 Hello! On consoles, open Spotify in the quick menu overlay and adjust the Sound/Mix balance slider. -Chloe",Offline Playlists & Download Storage Management,Offline Playlists & Download Storage Management,True,2017-11-05T17:24:00
115,twcs_11872,@SpotifyCares Spotify Kids app parental controls PIN code was forgotten. How do I reset parent PIN?,@user_spot_937_198 Hi! Student verification is managed via SheerID. Check document submission guidelines here: https://spoti.fi/student -Sarah,Smart Speaker & External Device Connectivity,Family & Student Plan Eligibility & Verification,True,2017-11-10T10:42:00
116,twcs_10552,@SpotifyCares App crashes immediately upon tapping the 'Your Library' tab on Android 14.,@user_spot_277_151 Hey! Try disabling hardware acceleration in the Spotify Desktop menu (File/Edit > Hardware Acceleration) and restart. -Zoe,"App Stability, OS Freezes & Crash Reports","App Stability, OS Freezes & Crash Reports",True,2017-11-04T00:38:00
117,twcs_11900,@SpotifyCares Feature suggestion: Allow sorting playlists by BPM / tempo for workout and running mixes.,@user_spot_951_443 Hi! You can exclude any playlist from your Taste Profile by tapping the three dots on the playlist and selecting 'Exclude'. -Daniel,Product Feature Requests & UI Enhancements,Product Feature Requests & UI Enhancements,True,2017-11-10T13:57:00
118,twcs_10256,@SpotifyCares Why was my premium subscription charged in GBP instead of my local currency?,"@user_spot_129_939 Hey! Please verify international transactions are enabled on your card, or try PayPal as a secondary billing method. -Sarah",Audio Streaming Quality & Playback Errors,"Billing, Subscriptions & Refund Inquiries",True,2017-11-02T14:15:00
119,twcs_11044,@SpotifyCares Can't connect Spotify to Kenwood receiver via Bluetooth auto-connect.,@user_spot_523_583 Hello! Try reinstalling the Spotify app on your Smart TV or clearing TV app cache from TV system settings. -Maya,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-06T10:07:00
120,twcs_11352,@SpotifyCares Reordering tracks inside a custom playlist doesn't sync across desktop and mobile apps.,@user_spot_677_303 Hi! Make sure both devices are connected to the exact same WiFi network and Local Files are enabled in Settings. -Elena,Product Feature Requests & UI Enhancements,"App Stability, OS Freezes & Crash Reports",True,2017-11-07T22:08:00
121,twcs_10482,@SpotifyCares Crossfade transition between songs causes a 2-second loud audio buzz artifact on Android 13.,@user_spot_242_312 Hi! Make sure hardware acceleration is enabled in your app/browser settings and clear your cache for open.spotify.com. -Carlos,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-03T16:31:00
122,twcs_12030,@SpotifyCares Would love if we could pin our top 8 favorite albums and playlists to the top of our user profile.,@user_spot_1016_457 Hey! Great suggestion. You can submit and vote on feature ideas directly on our Spotify Community Idea Board: https://spoti.fi/ideas -Carlos,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-11T05:14:00
123,twcs_11994,@SpotifyCares When is Spotify HiFi 24-bit lossless streaming audio going to be released?,@user_spot_998_478 Hi! Lyrics availability depends on licensing from Musixmatch and rightsholders. We're constantly adding new lyrics! -Ryan,Audio Streaming Quality & Playback Errors,Product Feature Requests & UI Enhancements,True,2017-11-11T00:53:00
124,twcs_10003,@SpotifyCares I was charged twice for my Spotify Family plan this month ($14.99 x 2). Can I get a refund?,@user_spotify_2 Hey! We'd be glad to look into this charge. Send us a DM with your account's email address and we'll sort out the refund: https://spoti.fi/dm,"Account Login, Password & Security Access",Family & Student Plan Eligibility & Verification,True,2017-11-01T09:30:00
125,twcs_11148,@SpotifyCares Can't log into my account. Password reset email is not arriving in my inbox or spam folder for Yahoo Mail.,"@user_spot_575_844 Hey! We recommend going to spotify.com/account and clicking 'Sign out everywhere', then resetting your password immediately. -Maya","Account Login, Password & Security Access","Account Login, Password & Security Access",True,2017-11-06T22:13:00
126,twcs_11822,@SpotifyCares High school student asking if high school IDs qualify for Spotify Student discount program.,"@user_spot_912_854 Hi! Log into spotify.com/account, select 'Manage members' under Duo/Family, and copy the new invite link to share. -Ryan",Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-10T04:48:00
127,twcs_10219,"@SpotifyCares Gapless playback setting is not working, getting 2 second silence between continuous live album tracks.","@user_spotify_211 Hello! Toggle 'Gapless playback' off and on in Playback settings, and ensure 'Automix' is enabled for seamless transitions.","App Stability, OS Freezes & Crash Reports",Audio Streaming Quality & Playback Errors,True,2017-11-14T15:10:00
128,twcs_10280,@SpotifyCares Music audio keeps stuttering and buffering constantly during playback on Edge browser.,@user_spot_141_717 Hi! Disable Crossfade in Settings > Playback or clear app cache to fix premature audio cutoffs. -Ryan,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-02T16:56:00
129,twcs_11308,@SpotifyCares Can I transfer my playlist ownership and followers to another Spotify user account?,@user_spot_655_865 Hello! DM us your registered email and phone number and we'll help verify your 2FA authentication settings. -Maya,Family & Student Plan Eligibility & Verification,"Account Login, Password & Security Access",True,2017-11-07T16:54:00
130,twcs_11080,@SpotifyCares How do I sign out of all devices remotely if I left my account logged in at a public computer?,@user_spot_541_262 Hi there! Deleted accounts can be restored within 7 days. Send us a private DM with your account details immediately! -Sarah,"App Stability, OS Freezes & Crash Reports",Product Feature Requests & UI Enhancements,True,2017-11-06T14:20:00
131,twcs_10802,@SpotifyCares App freezes completely when opening playlists with more than 1000 songs on Samsung Galaxy S22.,@user_spot_402_872 Hi! Disable 'Canvas' looping visuals under Settings > Playback to reduce background battery and CPU consumption. -Emma,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-05T05:53:00
132,twcs_10058,@SpotifyCares Auto-renew was turned off on my account yet I was still charged $9.99 yesterday morning. Please reverse.,@user_spot_30_729 Hello! Refunds typically take 3-5 business days depending on your bank. Send us a DM with your reference ID to check. -Carlos,"Account Login, Password & Security Access","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T15:05:00
133,twcs_10808,@SpotifyCares App UI flickers and restarts every time bluetooth connects or disconnects in the car.,@user_spot_405_587 Hey! Try disabling hardware acceleration in the Spotify Desktop menu (File/Edit > Hardware Acceleration) and restart. -Chloe,"App Stability, OS Freezes & Crash Reports",Smart Speaker & External Device Connectivity,True,2017-11-05T06:39:00
134,twcs_10172,@SpotifyCares Why is there an unexpected extra $4.99 tax charge on my annual subscription receipt?,@user_spot_87_553 Hey! Send us a DM with both transaction IDs so we can cancel the redundant third-party billing and process a refund. -Elena,Family & Student Plan Eligibility & Verification,"Billing, Subscriptions & Refund Inquiries",True,2017-11-02T04:24:00
135,twcs_11812,@SpotifyCares Having trouble renewing my Student Discount verification with SheerID. Says university email jdoe@nyu.edu invalid.,@user_spot_907_392 Hello! You can renew your student discount up to 3 times (4 years total). Re-verify at spotify.com/student! -Daniel,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-10T03:38:00
136,twcs_10104,@SpotifyCares Payment failed when renewing with Visa debit card. Bank says transaction was blocked by merchant.,@user_spot_53_229 Hello! We'd be happy to investigate this. Send us a private DM with your registered email and we'll check your billing status: https://spoti.fi/dm -Ryan,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T20:24:00
137,twcs_12002,@SpotifyCares How can I block a specific artist from playing on my Discover Weekly and Release Radar?,@user_spot_1002_195 Hi! Lyrics availability depends on licensing from Musixmatch and rightsholders. We're constantly adding new lyrics! -Kevin,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-11T01:51:00
138,twcs_10336,@SpotifyCares What audio bitrate does Spotify HiFi / Very High quality stream at on desktop vs mobile?,@user_spot_169_935 Hi! Disable Crossfade in Settings > Playback or clear app cache to fix premature audio cutoffs. -Alex,"App Stability, OS Freezes & Crash Reports",Audio Streaming Quality & Playback Errors,True,2017-11-02T23:33:00
139,twcs_10346,@SpotifyCares Streaming quality sounds muffled and low bitrate even though 'Very High Quality' is selected.,@user_spot_174_346 Hi! Very High streaming streams at 320 kbps AAC/Ogg Vorbis on Premium. Details here: https://spoti.fi/audio-quality -Sarah,Family & Student Plan Eligibility & Verification,Audio Streaming Quality & Playback Errors,True,2017-11-03T00:42:00
140,twcs_11768,@SpotifyCares Can I have Spotify Duo if my partner and I live in different postal zip codes?,@user_spot_885_576 Hi! The plan manager can generate a fresh invitation link from their Account overview at spotify.com/account. -Liam,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-09T22:40:00
141,twcs_12072,@SpotifyCares How do I change my public username or display name on my Spotify artist/user profile?,@user_spot_1037_291 Hello! You can update your display name anytime from your profile page in the mobile or desktop app settings. -Elena,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-11T10:07:00
142,twcs_10498,@SpotifyCares Music volume is extremely quiet compared to YouTube and Apple Music on max volume on iPhone 14 Pro.,@user_spot_250_729 Hey! Check your streaming quality under Settings > Audio Quality. Toggle 'Download using cellular' if streaming offline tracks. -Liam,Audio Streaming Quality & Playback Errors,Offline Playlists & Download Storage Management,True,2017-11-03T18:21:00
143,twcs_11982,@SpotifyCares Please add an option to exclude certain playlists from my Taste Profile and Spotify Wrapped!,@user_spot_992_928 Hey! Thanks for the feedback! We've passed this request along to our desktop development team. -Maya,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-10T23:38:00
144,twcs_11554,@SpotifyCares Spotify says 'Storage is full' error even though my SD card has 32GB of free space.,@user_spot_778_637 Hey! Remember to go online with Spotify at least once every 30 days to keep your offline downloads active. -Carlos,"Billing, Subscriptions & Refund Inquiries",Offline Playlists & Download Storage Management,True,2017-11-08T21:39:00
145,twcs_10688,@SpotifyCares App freezes completely when opening playlists with more than 2500 songs on Pixel 7 Pro.,@user_spot_345_265 Hi! Disable 'Canvas' looping visuals under Settings > Playback to reduce background battery and CPU consumption. -Liam,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-04T16:30:00
146,twcs_10644,@SpotifyCares App crashes when attempting to view artist about biography page with high-res photos.,@user_spot_323_723 Hello! Reinstalling the app usually fixes persistent login session drops. Send us a DM if the issue continues! -Zoe,"App Stability, OS Freezes & Crash Reports","Account Login, Password & Security Access",True,2017-11-04T11:30:00
147,twcs_11098,"@SpotifyCares Received a security alert about a login from Russia on my account. I live in Toronto, Canada.","@user_spot_550_852 Hey! We recommend going to spotify.com/account and clicking 'Sign out everywhere', then resetting your password immediately. -Zoe","Account Login, Password & Security Access","Account Login, Password & Security Access",True,2017-11-06T16:20:00
148,twcs_11350,@SpotifyCares Spotify says 'Storage is full' error even though my SD card has 32GB of free space.,@user_spot_676_275 Hey! Send us a DM with your device model and app version if offline sync continues to fail: https://spoti.fi/dm -Elena,"Billing, Subscriptions & Refund Inquiries",Offline Playlists & Download Storage Management,True,2017-11-07T21:46:00
149,twcs_11616,@SpotifyCares Downloaded songs are greyed out and unplayable in offline mode on airplane flight.,"@user_spot_809_780 Hi! Check Settings > Storage > Storage location, and select your SD Card. Ensure app permissions allow storage access. -Sarah",Offline Playlists & Download Storage Management,Offline Playlists & Download Storage Management,True,2017-11-09T04:54:00
150,twcs_11940,@SpotifyCares Liked Songs playlist count shows 4000 tracks but only 1500 load when scrolling to the bottom.,@user_spot_971_833 Hi! You can exclude any playlist from your Taste Profile by tapping the three dots on the playlist and selecting 'Exclude'. -Carlos,Product Feature Requests & UI Enhancements,"App Stability, OS Freezes & Crash Reports",True,2017-11-10T18:38:00
151,twcs_11670,@SpotifyCares How many times can a college student renew the 50% off Student Premium discount?,@user_spot_836_905 Hey! Send us a DM with your account username so we can assist with Family/Student verification: https://spoti.fi/dm -Alex,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T11:12:00
152,twcs_10316,@SpotifyCares Left audio channel has no sound output while right channel plays normally on iPad Air.,@user_spot_159_631 Hi! Check your phone's battery optimization settings and set Spotify to 'Unrestricted' background activity. -Chloe,Audio Streaming Quality & Playback Errors,Audio Streaming Quality & Playback Errors,True,2017-11-02T21:11:00
153,twcs_10836,@SpotifyCares Roku streaming stick audio is 3 seconds out of sync with video podcasts on TV.,@user_spot_419_939 Hey! Unlink and re-link your Spotify account in the Alexa/Google Home companion app to refresh the token. -Carlos,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-05T09:47:00
154,twcs_10742,@SpotifyCares Keep getting logged out of the mobile app every time I close it on Android 14.,@user_spot_372_150 Hi! Let's do a clean reinstall to resolve crashing. Follow the step-by-step guide here: https://spoti.fi/reinstall -Ryan,"App Stability, OS Freezes & Crash Reports","Account Login, Password & Security Access",True,2017-11-04T22:54:00
155,twcs_10084,"@SpotifyCares If I downgrade from Premium to Free tier mid-cycle, do I get a prorated refund credit for unused days?",@user_spot_43_522 Hey! Send us a DM with both transaction IDs so we can cancel the redundant third-party billing and process a refund. -Kevin,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T18:08:00
156,twcs_11206,@SpotifyCares Can't log into my account. Password reset email is not arriving in my inbox or spam folder for Outlook.com.,@user_spot_604_256 Hi! Send us a DM with your account's email and invoice details right away so we can secure your profile: https://spoti.fi/dm -Elena,"Account Login, Password & Security Access","Billing, Subscriptions & Refund Inquiries",True,2017-11-07T05:01:00
157,twcs_10307,@SpotifyCares Keep getting logged out of the mobile app every time I close it on iOS.,@user_spotify_306 Hello! Reinstall the app and ensure iOS Keychain credentials are saved under iOS Settings > Passwords.,"App Stability, OS Freezes & Crash Reports","Account Login, Password & Security Access",True,2017-11-06T12:40:00
158,twcs_12090,@SpotifyCares My Daily Mix playlists haven't refreshed for over a week. Same songs on repeat.,@user_spot_1046_801 Hey! Thanks for the feedback! We've passed this request along to our desktop development team. -Daniel,Family & Student Plan Eligibility & Verification,Audio Streaming Quality & Playback Errors,True,2017-11-11T12:10:00
159,twcs_10764,@SpotifyCares Infinite loading spinner when trying to search for songs or artist profiles on Android 14.,"@user_spot_383_795 Hey! Send us a DM with your device model, OS version, and Spotify app version so our tech team can investigate: https://spoti.fi/dm -Daniel",Smart Speaker & External Device Connectivity,"App Stability, OS Freezes & Crash Reports",True,2017-11-05T01:27:00
160,twcs_10029,@SpotifyCares I accidentally deleted my favorite playlist with 500 songs! Can I recover it?,@user_spotify_15 Don't worry! You can restore deleted playlists from your web account at spotify.com/account/recover-playlists anytime!,Product Feature Requests & UI Enhancements,Audio Streaming Quality & Playback Errors,True,2017-11-05T14:00:00
161,twcs_10112,@SpotifyCares Payment failed when renewing with Wells Fargo Visa card. Bank says transaction was blocked by merchant.,@user_spot_57_867 Hi! Sales tax or VAT is calculated based on local jurisdiction laws. DM us your receipt and postal code to verify! -Alex,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T21:22:00
162,twcs_10062,@SpotifyCares Payment failed when renewing with Chase Sapphire card. Bank says transaction was blocked by merchant.,@user_spot_32_794 Hello! Refunds typically take 3-5 business days depending on your bank. Send us a DM with your reference ID to check. -Zoe,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T15:35:00
163,twcs_10758,@SpotifyCares Infinite loading spinner when trying to search for songs or artist profiles on iOS 16.,@user_spot_380_998 Hi there! Does this happen on both WiFi and cellular? Let us know your Spotify version and OS build in DM! -Maya,Smart Speaker & External Device Connectivity,"App Stability, OS Freezes & Crash Reports",True,2017-11-05T00:40:00
164,twcs_10098,"@SpotifyCares If I downgrade from Premium to Free tier mid-cycle, do I get a prorated refund credit for unused days?",@user_spot_50_145 Hey! Send us a DM with both transaction IDs so we can cancel the redundant third-party billing and process a refund. -Liam,"Billing, Subscriptions & Refund Inquiries","Billing, Subscriptions & Refund Inquiries",True,2017-11-01T19:41:00
165,twcs_10513,@SpotifyCares Roku streaming stick audio is 3 seconds out of sync with video podcasts on TV.,@user_spotify_510 Hi! Check Roku Audio settings and switch HDMI audio format from Auto/Dolby to Stereo PCM.,Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-15T14:30:00
166,twcs_11174,@SpotifyCares I didn't receive the verification email to confirm my new email change request.,@user_spot_588_919 Hello! DM us your registered email and phone number and we'll help verify your 2FA authentication settings. -Carlos,Product Feature Requests & UI Enhancements,"Account Login, Password & Security Access",True,2017-11-07T01:16:00
167,twcs_11926,@SpotifyCares Would love if we could pin our top 3 favorite albums and playlists to the top of our user profile.,@user_spot_964_243 Hey! Thanks for the feedback! We've passed this request along to our desktop development team. -Ryan,Family & Student Plan Eligibility & Verification,Product Feature Requests & UI Enhancements,True,2017-11-10T17:06:00
168,twcs_10796,@SpotifyCares App crashes when attempting to view artist about biography page with high-res photos.,@user_spot_399_504 Hello! Try deleting the Spotify AppData/cache folder or reinstalling the desktop client from spotify.com/download. -Ryan,"App Stability, OS Freezes & Crash Reports",Offline Playlists & Download Storage Management,True,2017-11-05T05:06:00
169,twcs_10962,@SpotifyCares Samsung Smart TV app gets stuck on loading logo when launching Spotify Connect from phone.,"@user_spot_482_669 Hello! On consoles, open Spotify in the quick menu overlay and adjust the Sound/Mix balance slider. -Alex",Smart Speaker & External Device Connectivity,Smart Speaker & External Device Connectivity,True,2017-11-06T00:30:00
170,twcs_11810,@SpotifyCares Can I upgrade from an Individual plan to Family plan without losing my playlist history and saved tracks?,@user_spot_906_976 Hi! The plan manager can generate a fresh invitation link from their Account overview at spotify.com/account. -Ryan,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-10T03:25:00
171,twcs_10698,@SpotifyCares Spotify keeps crashing on macOS Sonoma upon launch. Crash log generated #CR-9921.,@user_spot_350_761 Hi there! Does this happen on both WiFi and cellular? Let us know your Spotify version and OS build in DM! -Sarah,Family & Student Plan Eligibility & Verification,"App Stability, OS Freezes & Crash Reports",True,2017-11-04T17:50:00
172,twcs_10362,@SpotifyCares Tracks randomly pause every 5 minutes by themselves while phone screen is locked on Android 14.,@user_spot_182_442 Hi! Make sure hardware acceleration is enabled in your app/browser settings and clear your cache for open.spotify.com. -Emma,Smart Speaker & External Device Connectivity,Audio Streaming Quality & Playback Errors,True,2017-11-03T02:32:00
173,twcs_11758,@SpotifyCares How do I remove an inactive member from our Spotify Family subscription group?,@user_spot_880_123 Hi! Student verification is managed via SheerID. Check document submission guidelines here: https://spoti.fi/student -Zoe,Family & Student Plan Eligibility & Verification,Family & Student Plan Eligibility & Verification,True,2017-11-09T21:30:00
174,twcs_10816,"@SpotifyCares Google Assistant says 'Something went wrong, please try again' when asking to play Spotify playlists.",@user_spot_409_515 Hey! Make sure Spotify is set as the default music provider in your voice assistant settings. DM us if you need help! -Sarah,Family & Student Plan Eligibility & Verification,Audio Streaming Quality & Playback Errors,True,2017-11-05T07:26:00
175,twcs_11488,@SpotifyCares How do I change download storage location to my external micro SD card on iPhone 14 Pro?,@user_spot_745_120 Hi! Make sure both devices are connected to the exact same WiFi network and Local Files are enabled in Settings. -Maya,"Billing, Subscriptions & Refund Inquiries",Offline Playlists & Download Storage Management,True,2017-11-08T13:59:00
176,twcs_10600,@SpotifyCares Desktop app will not open on macOS Monterey startup even though 'Open Spotify automatically' is enabled.,"@user_spot_301_643 Hey! Try clearing app storage and cache under Settings > Storage > Clear Cache, then restart your device. -Sarah",Smart Speaker & External Device Connectivity,"App Stability, OS Freezes & Crash Reports",True,2017-11-04T06:19:00
177,twcs_10208,@SpotifyCares Auto-renew was turned off on my account yet I was still charged $14.99 yesterday morning. Please reverse.,@user_spot_105_211 Hello! Refunds typically take 3-5 business days depending on your bank. Send us a DM with your reference ID to check. -Carlos,"Account Login, Password & Security Access","Billing, Subscriptions & Refund Inquiries",True,2017-11-02T08:36:00
178,twcs_11586,@SpotifyCares Downloaded songs are greyed out and unplayable in offline mode on airplane flight.,"@user_spot_794_470 Hi! Premium allows downloading up to 10,000 tracks per device on up to 5 different devices! -Maya",Offline Playlists & Download Storage Management,Offline Playlists & Download Storage Management,True,2017-11-09T01:18:00
179,twcs_11272,@SpotifyCares How do I change my registered email address on Spotify without losing my saved songs and playlists?,@user_spot_637_572 Hi there! Deleted accounts can be restored within 7 days. Send us a private DM with your account details immediately! -Elena,Family & Student Plan Eligibility & Verification,"Account Login, Password & Security Access",True,2017-11-07T12:42:00
180,twcs_11556,@SpotifyCares I accidentally deleted my favorite playlist with 500 songs! Can I recover it?,@user_spot_779_495 Hi! Make sure both devices are connected to the exact same WiFi network and Local Files are enabled in Settings. -Liam,Product Feature Requests & UI Enhancements,Audio Streaming Quality & Playback Errors,True,2017-11-08T21:49:00
